company,title,totalyearlycompensation,yearsofexperience,yearsatcompany,basesalary,gender,Race,Education,state,country,bonus
2.0,11,354000,12,12,183000,1,0,3,19,63,209230.0
1.0,11,156000,7,7,140000,0,0,0,161,63,210420.0
89.0,11,150000,0,0,120000,0,4,0,112,63,138730.0
6.0,13,157000,13,1,150000,1,0,2,19,63,153340.0
6.0,11,194000,13,13,194000,1,0,0,83,63,210420.0
89.0,11,250000,9,7,165000,1,4,2,112,63,204160.0
1.0,11,167000,6,3,137000,1,0,2,161,63,153710.0
89.0,11,128000,3,1,112000,1,4,0,19,63,143600.0
1.0,2,188000,4,1,147000,0,0,2,19,63,149140.0
89.0,11,215000,3,1,145000,1,0,2,161,63,148150.0
0.0,2,202000,3,2,130000,1,4,0,19,63,136470.0
88.0,11,185000,0,0,123000,1,0,2,19,63,149870.0
89.0,14,300000,16,4,160000,1,0,2,161,63,204080.0
89.0,14,272000,22,5,159000,1,4,2,19,63,201090.0
89.0,14,265000,7,1,171000,1,4,0,19,63,148370.0
2.0,14,247000,3,0,150000,1,4,0,19,63,134870.0
2.0,1,170000,3,3,170000,1,4,0,19,63,146510.0
89.0,11,215000,9,2,155000,1,0,2,161,63,145800.0
89.0,8,271000,10,1,142000,1,4,2,19,63,148280.0
89.0,11,165000,0,0,145000,1,1,0,112,63,138730.0
88.0,1,205000,0,0,150000,0,0,3,19,63,149870.0
